mode,cyc,xnor_B,xnor_Y,Q,and4_X
I1_cyc1_12,24,1,0,0,0
I1_cyc1_12,25,1,0,0,0
I1_cyc1_12,26,1,0,0,0
I1_cyc1_12,27,1,0,0,0
I1_cyc1_12,28,1,0,0,0
I1_cyc1_12,29,1,0,0,0
I1_cyc1_12,30,1,0,0,0
I1_cyc1_12,31,1,0,0,0
I1_cyc1_12,32,1,0,0,0
I1_cyc1_12,33,1,0,0,0
I1_cyc1_12,34,1,0,0,0
I1_cyc1_12,35,1,0,0,0
I1_cyc1_12,36,1,0,0,0
I1_cyc1_12,37,1,0,0,0
I1_cyc1_12,38,1,0,0,0
I1_cyc1_12,39,1,0,0,0
I1_cyc1_12,40,1,0,0,0
I1_cyc1_12,41,1,0,0,0
I1_cyc1_12,42,1,0,0,0
I1_cyc1_12,43,1,0,0,0
I1_cyc1_12,44,1,0,0,0
I1_cyc1_12,45,1,0,0,0
I1_cyc1_12,46,1,0,0,0
I1_cyc1_12,47,1,0,0,0
I1_cyc1_12,48,1,0,0,0
I1_cyc1_12,49,1,0,0,0
I1_cyc1_12,50,1,0,0,0
I1_cyc1_12,51,1,0,0,0
I1_cyc1_12,52,1,0,0,0
I1_cyc1_12,53,1,0,0,0
I1_cyc1_12,54,1,0,0,0
I1_cyc1_12,55,1,0,0,0
I1_cyc1_12,56,1,0,0,0
I1_cyc1_12,57,1,0,0,0
I1_cyc1_12,58,1,0,0,0
I1_cyc1_12,59,1,0,0,0
I1_cyc1_12,60,1,0,0,0
I1_cyc1_12,61,1,0,0,0
I1_cyc1_12,62,1,0,0,0
I1_cyc1_12,63,1,0,0,0
I1_cyc1_12,64,1,0,0,0
I1_cyc1_12,65,1,0,0,0
I1_cyc1_12,66,1,0,0,0
I1_cyc1_12,67,1,0,0,0
I1_cyc1_12,68,1,0,0,0
I1_cyc1_12,69,1,0,0,0
I1_cyc1_12,70,1,0,0,0
I1_cyc1_12,71,1,0,0,0
I1_cyc1_12,72,1,0,0,0
I1_cyc1_12,73,1,0,0,0
I1_cyc1_12,74,1,0,0,0
I1_cyc1_12,75,1,0,0,0
I1_cyc1_12,76,1,0,0,0
I1_cyc1_12,77,1,0,0,0
I1_cyc1_12,78,1,0,0,0
I1_cyc1_12,79,1,0,0,0
I1_cyc1_12,80,1,0,0,0
I1_cyc1_12,81,1,0,0,0
I1_cyc1_12,82,1,0,0,0
I1_cyc1_12,83,1,0,0,0
I1_cyc1_12,84,1,0,0,0
I1_cyc1_12,85,1,0,0,0
I1_cyc1_12,86,1,0,0,0
I1_cyc1_12,87,1,0,0,0
I1_cyc1_12,88,1,0,0,0
I1_cyc1_12,89,1,0,0,0
I1_cyc1_12,90,1,0,0,0
I1_cyc1_12,91,1,0,0,0
I1_cyc1_12,92,1,0,0,0
I1_cyc1_12,93,1,0,0,0
I1_cyc1_12,94,1,0,0,0
I1_cyc1_12,95,1,0,0,0
I1_cyc1_12,96,1,0,0,0
I1_cyc1_12,97,1,0,0,0
I1_cyc1_12,98,1,0,0,0
I1_cyc1_12,99,1,0,0,0
I1_cyc1_12,100,1,0,0,0
I1_cyc1_12,101,1,0,0,0
I1_cyc1_12,102,1,0,0,0
I1_cyc1_12,103,1,0,0,0
I1_cyc1_12,104,1,0,0,0
I1_cyc1_12,105,1,0,0,0
I1_cyc1_12,106,1,0,0,0
I1_cyc1_12,107,1,0,0,0
I1_cyc1_12,108,1,0,0,0
I1_cyc1_12,109,1,0,0,0
I1_cyc1_12,110,1,0,0,0
I1_cyc1_12,111,1,0,0,0
I1_cyc1_12,112,1,0,0,0
I1_cyc1_12,113,1,0,0,0
I1_cyc1_12,114,1,0,0,0
I1_cyc1_12,115,1,0,0,0
I1_cyc1_12,116,1,0,0,0
I1_cyc1_12,117,1,0,0,0
I1_cyc1_12,118,1,0,0,0
I1_cyc1_12,119,1,0,0,0
I1_cyc1_12,120,1,0,0,0
