label,mode,cyc,I,enable,op_slot_1_A,AN_slot_1_A,B_slot_1_A,Y_slot_1_A
t05_slot_1_A_k2,79,103,0,1,0,0,1,1
t05_slot_1_A_k2,79,104,0,1,0,0,1,1
t05_slot_1_A_k2,79,105,0,1,0,0,1,1
t05_slot_1_A_k2,79,106,0,1,0,0,1,1
t05_slot_1_A_k2,79,107,0,1,0,0,1,1
t05_slot_1_A_k2,79,108,0,1,0,0,1,1
t05_slot_1_A_k2,79,109,0,1,0,0,1,1
t05_slot_1_A_k2,79,110,0,1,0,0,1,1
t05_slot_1_A_k2,79,111,0,1,0,0,1,1
t05_slot_1_A_k2,79,112,0,1,0,0,1,1
t05_slot_1_A_k2,79,113,0,1,0,0,1,1
t05_slot_1_A_k2,79,114,0,1,0,0,1,1
t05_slot_1_A_k2,79,115,0,1,0,0,1,1
t05_slot_1_A_k2,79,116,0,1,0,0,1,1
t05_slot_1_A_k2,79,117,0,1,0,0,1,1
t05_slot_1_A_k2,79,118,0,1,0,0,1,1
t05_slot_1_A_k2,79,119,0,1,0,0,1,1
t05_slot_1_A_k2,79,120,0,1,0,0,1,1
t05_slot_1_A_k3,80,0,0,1,0,0,0,0
t05_slot_1_A_k3,80,1,0,1,0,0,0,0
t05_slot_1_A_k3,80,2,0,1,0,0,0,0
t05_slot_1_A_k3,80,3,0,1,0,0,0,0
t05_slot_1_A_k3,80,4,0,1,0,0,0,0
t05_slot_1_A_k3,80,5,0,1,0,0,0,0
t05_slot_1_A_k3,80,6,0,1,0,0,0,0
t05_slot_1_A_k3,80,7,1,1,1,0,0,0
t05_slot_1_A_k3,80,8,0,1,0,1,0,0
t05_slot_1_A_k3,80,9,0,1,0,1,0,0
t05_slot_1_A_k3,80,10,0,1,0,1,0,0
t05_slot_1_A_k3,80,11,0,1,0,1,0,0
t05_slot_1_A_k3,80,12,0,1,0,1,0,0
t05_slot_1_A_k3,80,13,0,1,0,1,0,0
t05_slot_1_A_k3,80,14,0,1,0,1,0,0
t05_slot_1_A_k3,80,15,0,1,0,1,0,0
t05_slot_1_A_k3,80,16,0,1,0,1,0,0
t05_slot_1_A_k3,80,17,1,1,1,1,0,0
t05_slot_1_A_k3,80,18,1,1,1,0,1,1
t05_slot_1_A_k3,80,19,0,1,0,1,1,0
t05_slot_1_A_k3,80,20,0,1,0,1,1,0
t05_slot_1_A_k3,80,21,0,1,0,1,1,0
t05_slot_1_A_k3,80,22,0,1,0,1,1,0
t05_slot_1_A_k3,80,23,0,1,0,1,1,0
t05_slot_1_A_k3,80,24,0,1,0,1,1,0
t05_slot_1_A_k3,80,25,0,1,0,1,1,0
t05_slot_1_A_k3,80,26,0,1,0,1,1,0
t05_slot_1_A_k3,80,27,0,1,0,1,1,0
t05_slot_1_A_k3,80,28,0,1,0,1,1,0
t05_slot_1_A_k3,80,29,0,1,1,1,1,0
t05_slot_1_A_k3,80,30,0,1,1,1,1,0
t05_slot_1_A_k3,80,31,0,1,0,1,1,0
t05_slot_1_A_k3,80,32,0,1,0,1,1,0
t05_slot_1_A_k3,80,33,0,1,0,1,1,0
t05_slot_1_A_k3,80,34,0,1,0,1,1,0
t05_slot_1_A_k3,80,35,0,1,0,1,1,0
t05_slot_1_A_k3,80,36,0,1,0,1,1,0
t05_slot_1_A_k3,80,37,0,1,0,1,1,0
t05_slot_1_A_k3,80,38,0,1,0,1,1,0
t05_slot_1_A_k3,80,39,0,1,0,1,1,0
t05_slot_1_A_k3,80,40,0,1,0,1,1,0
t05_slot_1_A_k3,80,41,0,1,1,1,1,0
t05_slot_1_A_k3,80,42,0,1,1,1,1,0
t05_slot_1_A_k3,80,43,0,1,0,1,1,0
t05_slot_1_A_k3,80,44,0,1,0,1,1,0
t05_slot_1_A_k3,80,45,0,1,0,1,1,0
t05_slot_1_A_k3,80,46,0,1,0,1,1,0
t05_slot_1_A_k3,80,47,0,1,0,1,1,0
t05_slot_1_A_k3,80,48,0,1,0,1,1,0
t05_slot_1_A_k3,80,49,0,1,0,1,1,0
t05_slot_1_A_k3,80,50,0,1,0,1,1,0
t05_slot_1_A_k3,80,51,0,1,0,1,1,0
t05_slot_1_A_k3,80,52,0,1,0,1,1,0
t05_slot_1_A_k3,80,53,0,1,0,1,1,0
t05_slot_1_A_k3,80,54,0,1,0,1,1,0
t05_slot_1_A_k3,80,55,0,1,0,1,1,0
t05_slot_1_A_k3,80,56,0,1,0,1,1,0
t05_slot_1_A_k3,80,57,0,1,0,1,1,0
t05_slot_1_A_k3,80,58,0,1,0,1,1,0
t05_slot_1_A_k3,80,59,0,1,0,1,1,0
t05_slot_1_A_k3,80,60,0,1,0,1,1,0
t05_slot_1_A_k3,80,61,0,1,0,1,1,0
t05_slot_1_A_k3,80,62,0,1,0,1,1,0
t05_slot_1_A_k3,80,63,0,1,0,1,1,0
t05_slot_1_A_k3,80,64,0,1,0,1,1,0
t05_slot_1_A_k3,80,65,0,1,0,1,1,0
t05_slot_1_A_k3,80,66,0,1,0,1,1,0
t05_slot_1_A_k3,80,67,0,1,0,1,1,0
t05_slot_1_A_k3,80,68,0,1,0,1,1,0
t05_slot_1_A_k3,80,69,0,1,0,1,1,0
t05_slot_1_A_k3,80,70,0,1,0,1,1,0
t05_slot_1_A_k3,80,71,0,1,0,1,1,0
t05_slot_1_A_k3,80,72,0,1,0,1,1,0
t05_slot_1_A_k3,80,73,0,1,0,1,1,0
t05_slot_1_A_k3,80,74,0,1,0,1,1,0
t05_slot_1_A_k3,80,75,0,1,0,1,1,0
t05_slot_1_A_k3,80,76,0,1,0,1,1,0
t05_slot_1_A_k3,80,77,0,1,0,1,1,0
t05_slot_1_A_k3,80,78,0,1,0,1,1,0
t05_slot_1_A_k3,80,79,0,1,0,1,1,0
t05_slot_1_A_k3,80,80,0,1,0,1,1,0
t05_slot_1_A_k3,80,81,0,1,0,1,1,0
t05_slot_1_A_k3,80,82,0,1,0,1,1,0
t05_slot_1_A_k3,80,83,0,1,0,1,1,0
t05_slot_1_A_k3,80,84,0,1,0,1,1,0
t05_slot_1_A_k3,80,85,0,1,0,1,1,0
t05_slot_1_A_k3,80,86,0,1,0,1,1,0
t05_slot_1_A_k3,80,87,0,1,0,1,1,0
t05_slot_1_A_k3,80,88,0,1,0,1,1,0
t05_slot_1_A_k3,80,89,0,1,0,1,1,0
t05_slot_1_A_k3,80,90,0,1,0,1,1,0
t05_slot_1_A_k3,80,91,0,1,0,1,1,0
t05_slot_1_A_k3,80,92,0,1,0,1,1,0
t05_slot_1_A_k3,80,93,0,1,0,1,1,0
t05_slot_1_A_k3,80,94,0,1,0,1,1,0
t05_slot_1_A_k3,80,95,0,1,0,1,1,0
t05_slot_1_A_k3,80,96,0,1,0,1,1,0
t05_slot_1_A_k3,80,97,0,1,0,1,1,0
t05_slot_1_A_k3,80,98,0,1,0,1,1,0
t05_slot_1_A_k3,80,99,0,1,0,1,1,0
t05_slot_1_A_k3,80,100,0,1,0,1,1,0
t05_slot_1_A_k3,80,101,0,1,0,1,1,0
t05_slot_1_A_k3,80,102,0,1,0,1,1,0
t05_slot_1_A_k3,80,103,0,1,0,1,1,0
t05_slot_1_A_k3,80,104,0,1,0,1,1,0
t05_slot_1_A_k3,80,105,0,1,0,1,1,0
t05_slot_1_A_k3,80,106,0,1,0,1,1,0
t05_slot_1_A_k3,80,107,0,1,0,1,1,0
t05_slot_1_A_k3,80,108,0,1,0,1,1,0
t05_slot_1_A_k3,80,109,0,1,0,1,1,0
t05_slot_1_A_k3,80,110,0,1,0,1,1,0
t05_slot_1_A_k3,80,111,0,1,0,1,1,0
t05_slot_1_A_k3,80,112,0,1,0,1,1,0
t05_slot_1_A_k3,80,113,0,1,0,1,1,0
t05_slot_1_A_k3,80,114,0,1,0,1,1,0
t05_slot_1_A_k3,80,115,0,1,0,1,1,0
t05_slot_1_A_k3,80,116,0,1,0,1,1,0
t05_slot_1_A_k3,80,117,0,1,0,1,1,0
t05_slot_1_A_k3,80,118,0,1,0,1,1,0
t05_slot_1_A_k3,80,119,0,1,0,1,1,0
t05_slot_1_A_k3,80,120,0,1,0,1,1,0
t05_slot_1_A_k4,81,0,0,1,0,0,0,0
t05_slot_1_A_k4,81,1,0,1,0,0,0,0
t05_slot_1_A_k4,81,2,0,1,0,0,0,0
t05_slot_1_A_k4,81,3,0,1,0,0,0,0
t05_slot_1_A_k4,81,4,0,1,0,0,0,0
t05_slot_1_A_k4,81,5,0,1,0,0,0,0
t05_slot_1_A_k4,81,6,0,1,0,0,0,0
t05_slot_1_A_k4,81,7,1,1,1,0,0,0
t05_slot_1_A_k4,81,8,0,1,0,1,0,0
t05_slot_1_A_k4,81,9,0,1,0,1,0,0
t05_slot_1_A_k4,81,10,0,1,0,1,0,0
t05_slot_1_A_k4,81,11,0,1,0,1,0,0
t05_slot_1_A_k4,81,12,0,1,0,1,0,0
t05_slot_1_A_k4,81,13,0,1,0,1,0,0
t05_slot_1_A_k4,81,14,0,1,0,1,0,0
