mode,cyc,S,A0,A1,X,a31o_X,sticky_Q,inv_Y
I2win_d04_off0,9,1,1,0,0,0,0,1
I2win_d04_off0,10,1,1,0,0,0,0,1
I2win_d04_off0,11,0,1,1,1,0,0,1
I2win_d04_off0,12,0,1,1,1,0,0,1
I2win_d04_off0,13,0,1,1,1,0,0,1
I2win_d04_off0,14,0,1,1,1,0,0,1
I2win_d04_off0,15,0,0,1,0,0,0,1
I2win_d04_off0,16,1,1,0,0,0,0,1
I2win_d04_off0,17,1,1,0,0,0,0,1
I2win_d04_off0,18,1,1,0,0,0,0,1
I2win_d04_off0,19,1,1,0,0,0,0,1
I2win_d04_off0,20,1,1,0,0,0,0,1
I2win_d04_off0,21,1,1,0,0,0,0,1
I2win_d04_off0,22,0,1,1,1,0,0,1
I2win_d04_off0,23,0,1,1,1,0,0,1
I2win_d04_off0,24,0,1,1,1,0,0,1
I2win_d04_off0,25,0,1,1,1,0,0,1
I2win_d04_off0,26,0,0,1,0,0,0,1
I2win_d04_off0,27,1,1,0,0,0,0,1
I2win_d04_off0,28,1,1,0,0,0,0,1
I2win_d04_off0,29,1,1,0,0,0,0,1
I2win_d04_off0,30,1,1,0,0,0,0,1
I2win_d04_off0,31,1,1,0,0,0,0,1
I2win_d04_off0,32,1,1,0,0,0,0,1
I2win_d04_off0,33,0,1,1,1,0,0,1
I2win_d04_off0,34,0,1,1,1,0,0,1
I2win_d04_off0,35,0,1,1,1,0,0,1
I2win_d04_off0,36,0,1,1,1,0,0,1
I2win_d04_off0,37,0,0,1,0,0,0,1
I2win_d04_off0,38,1,1,0,0,0,0,1
I2win_d04_off0,39,1,1,0,0,0,0,1
I2win_d04_off0,40,1,1,0,0,0,0,1
I2win_d04_off0,41,1,1,0,0,0,0,1
I2win_d04_off0,42,1,1,0,0,0,0,1
I2win_d04_off0,43,1,1,0,0,0,0,1
I2win_d04_off0,44,0,1,1,1,0,0,1
I2win_d04_off0,45,0,1,1,1,0,0,1
I2win_d04_off0,46,0,1,1,1,0,0,1
I2win_d04_off0,47,0,1,1,1,0,0,1
I2win_d04_off0,48,0,0,1,0,0,0,1
I2win_d04_off0,49,1,1,0,0,0,0,1
I2win_d04_off0,50,1,1,0,0,0,0,1
I2win_d04_off0,51,1,1,0,0,0,0,1
I2win_d04_off0,52,1,1,0,0,0,0,1
I2win_d04_off0,53,1,1,0,0,0,0,1
I2win_d04_off0,54,1,1,0,0,0,0,1
I2win_d04_off0,55,0,1,1,1,0,0,1
I2win_d04_off0,56,0,1,1,1,0,0,1
I2win_d04_off0,57,0,1,1,1,0,0,1
I2win_d04_off0,58,0,1,1,1,0,0,1
I2win_d04_off0,59,0,0,1,0,0,0,1
I2win_d04_off0,60,1,1,0,0,0,0,1
I2win_d04_off0,61,1,1,0,0,0,0,1
I2win_d04_off0,62,1,1,0,0,0,0,1
I2win_d04_off0,63,1,1,0,0,0,0,1
I2win_d04_off0,64,1,1,0,0,0,0,1
I2win_d04_off0,65,1,1,0,0,0,0,1
I2win_d04_off0,66,0,1,1,1,0,0,1
I2win_d04_off0,67,0,1,1,1,0,0,1
I2win_d04_off0,68,0,1,1,1,0,0,1
I2win_d04_off0,69,0,1,1,1,0,0,1
I2win_d04_off0,70,0,0,1,0,0,0,1
I2win_d04_off0,71,1,1,0,0,0,0,1
I2win_d04_off0,72,1,1,0,0,0,0,1
I2win_d04_off0,73,1,1,0,0,0,0,1
I2win_d04_off0,74,1,1,0,0,0,0,1
I2win_d04_off0,75,1,1,0,0,0,0,1
I2win_d04_off0,76,1,1,0,0,0,0,1
I2win_d04_off0,77,0,1,1,1,0,0,1
