mode,cyc,S,A0,A1,X,a31o_X,sticky_Q
I1_@3,0,0,1,0,1,0,0
I1_@3,1,0,1,0,1,0,0
I1_@3,2,0,1,0,1,0,0
I1_@3,3,0,1,1,1,0,0
I1_@3,4,0,1,1,1,0,0
I1_@3,5,0,1,1,1,0,0
I1_@3,6,0,1,1,1,0,0
I1_@3,7,0,1,1,1,0,0
I1_@3,8,0,1,1,1,0,0
I1_@3,9,0,1,1,1,0,0
I1_@3,10,0,1,1,1,1,0
I1_@3,11,0,1,0,1,1,1
I1_@3,12,0,1,0,1,1,1
I1_@3,13,0,1,0,1,1,1
I1_@3,14,0,1,0,1,1,1
I1_@3,15,0,1,0,1,1,1
I1_@3,16,0,1,0,1,1,1
I1_@3,17,0,1,0,1,1,1
I1_@3,18,0,1,0,1,1,1
I1_@3,19,0,1,0,1,1,1
I1_@3,20,0,1,0,1,1,1
I1_@3,21,0,1,0,1,1,1
I1_@3,22,0,1,0,1,1,1
I1_@3,23,0,1,0,1,1,1
I1_@3,24,0,1,0,1,1,1
I1_@3,25,0,1,0,1,1,1
I1_@3,26,0,1,0,1,1,1
I1_@3,27,0,1,0,1,1,1
I1_@3,28,0,1,0,1,1,1
I1_@3,29,0,1,0,1,1,1
I1_@3,30,0,1,0,1,1,1
I1_@3,31,0,1,0,1,1,1
I1_@3,32,0,1,0,1,1,1
I1_@3,33,0,1,0,1,1,1
I1_@3,34,0,1,0,1,1,1
I1_@3,35,0,1,0,1,1,1
I1_@3,36,0,1,0,1,1,1
I1_@3,37,0,1,0,1,1,1
I1_@3,38,0,1,0,1,1,1
I1_@3,39,0,1,0,1,1,1
I1_@3,40,0,1,0,1,1,1
I1_@3,41,0,1,0,1,1,1
I1_@3,42,0,1,0,1,1,1
I1_@3,43,0,1,0,1,1,1
I1_@3,44,0,1,0,1,1,1
I1_@3,45,0,1,0,1,1,1
I1_@3,46,0,1,0,1,1,1
I1_@3,47,0,1,0,1,1,1
I1_@3,48,0,1,0,1,1,1
I1_@3,49,0,1,0,1,1,1
I1_@3,50,0,1,0,1,1,1
I1_@3,51,0,1,0,1,1,1
I1_@3,52,0,1,0,1,1,1
I1_@3,53,0,1,0,1,1,1
I1_@3,54,0,1,0,1,1,1
I1_@3,55,0,1,0,1,1,1
I1_@3,56,0,1,0,1,1,1
I1_@3,57,0,1,0,1,1,1
I1_@3,58,0,1,0,1,1,1
I1_@3,59,0,1,0,1,1,1
I1_@3,60,0,1,0,1,1,1
I1_@3,61,0,1,0,1,1,1
I1_@3,62,0,1,0,1,1,1
I1_@3,63,0,1,0,1,1,1
I1_@3,64,0,1,0,1,1,1
I1_@3,65,0,1,0,1,1,1
I1_@3,66,0,1,0,1,1,1
I1_@3,67,0,1,0,1,1,1
I1_@3,68,0,1,0,1,1,1
I1_@3,69,0,1,0,1,1,1
I1_@3,70,0,1,0,1,1,1
I1_@3,71,0,1,0,1,1,1
I1_@3,72,0,1,0,1,1,1
I1_@3,73,0,1,0,1,1,1
I1_@3,74,0,1,0,1,1,1
I1_@3,75,0,1,0,1,1,1
I1_@3,76,0,1,0,1,1,1
I1_@3,77,0,1,0,1,1,1
I1_@3,78,0,1,0,1,1,1
I1_@3,79,0,1,0,1,1,1
I1_@3,80,0,1,0,1,1,1
I1_@3,81,0,1,0,1,1,1
I1_@3,82,0,1,0,1,1,1
I1_@3,83,0,1,0,1,1,1
I1_@3,84,0,1,0,1,1,1
I1_@3,85,0,1,0,1,1,1
I1_@3,86,0,1,0,1,1,1
I1_@3,87,0,1,0,1,1,1
I1_@3,88,0,1,0,1,1,1
I1_@3,89,0,1,0,1,1,1
I1_@3,90,0,1,0,1,1,1
I1_@3,91,0,1,0,1,1,1
I1_@3,92,0,1,0,1,1,1
I1_@3,93,0,1,0,1,1,1
I1_@3,94,0,1,0,1,1,1
I1_@3,95,0,1,0,1,1,1
I1_@3,96,0,1,0,1,1,1
I1_@3,97,0,1,0,1,1,1
I1_@3,98,0,1,0,1,1,1
I1_@3,99,0,1,0,1,1,1
I1_@3,100,0,1,0,1,1,1
I1_@3,101,0,1,0,1,1,1
I1_@3,102,0,1,0,1,1,1
I1_@3,103,0,1,0,1,1,1
I1_@3,104,0,1,0,1,1,1
I1_@3,105,0,1,0,1,1,1
I1_@3,106,0,1,0,1,1,1
I1_@3,107,0,1,0,1,1,1
I1_@3,108,0,1,0,1,1,1
I1_@3,109,0,1,0,1,1,1
I1_@3,110,0,1,0,1,1,1
I1_@3,111,0,1,0,1,1,1
I1_@3,112,0,1,0,1,1,1
I1_@3,113,0,1,0,1,1,1
