instance,cell_type,x_um,y_um
VIA_L1M1_PR_MR_231,VIA_L1M1_PR_MR,181.93,26.01
VIA_L1M1_PR_MR_232,VIA_L1M1_PR_MR,182.85,26.01
VIA_L1M1_PR_MR_233,VIA_L1M1_PR_MR,183.31,26.01
VIA_L1M1_PR_MR_234,VIA_L1M1_PR_MR,184.69,26.01
VIA_L1M1_PR_MR_235,VIA_L1M1_PR_MR,185.61,26.01
VIA_L1M1_PR_MR_236,VIA_L1M1_PR_MR,77.97,26.35
VIA_L1M1_PR_MR_237,VIA_L1M1_PR_MR,78.89,26.35
VIA_L1M1_PR_MR_238,VIA_L1M1_PR_MR,81.65,26.35
VIA_L1M1_PR_MR_239,VIA_L1M1_PR_MR,159.85,26.35
VIA_L1M1_PR_MR_240,VIA_L1M1_PR_MR,167.21,26.35
VIA_L1M1_PR_MR_241,VIA_L1M1_PR_MR,175.49,26.35
VIA_L1M1_PR_MR_242,VIA_L1M1_PR_MR,180.09,26.35
VIA_L1M1_PR_MR_243,VIA_L1M1_PR_MR,186.53,26.35
VIA_L1M1_PR_MR_244,VIA_L1M1_PR_MR,77.05,26.69
VIA_L1M1_PR_MR_245,VIA_L1M1_PR_MR,80.73,26.69
VIA_L1M1_PR_MR_246,VIA_L1M1_PR_MR,83.49,26.69
VIA_L1M1_PR_MR_247,VIA_L1M1_PR_MR,83.95,26.69
VIA_L1M1_PR_MR_248,VIA_L1M1_PR_MR,84.41,26.69
VIA_L1M1_PR_MR_249,VIA_L1M1_PR_MR,158.01,26.69
VIA_L1M1_PR_MR_250,VIA_L1M1_PR_MR,162.61,26.69
VIA_L1M1_PR_MR_251,VIA_L1M1_PR_MR,161.69,27.71
VIA_L1M1_PR_MR_252,VIA_L1M1_PR_MR,173.19,27.71
VIA_L1M1_PR_MR_253,VIA_L1M1_PR_MR,180.09,27.71
VIA_L1M1_PR_MR_254,VIA_L1M1_PR_MR,181.93,27.71
VIA_L1M1_PR_MR_255,VIA_L1M1_PR_MR,183.31,27.71
VIA_L1M1_PR_MR_256,VIA_L1M1_PR_MR,165.83,28.05
VIA_L1M1_PR_MR_257,VIA_L1M1_PR_MR,167.67000000000002,28.05
