mode,cyc,Q,nor2_2_30_Y,or3_2_8_A,inv_2_10_A,inv_2_10_Y,nor2_2_30_B,or3_X,nor3_Y,and3_2_10_B,a32o_2_2_X,and4_2_3_A,a21o_2_10_X,and4_2_3_B,dfrtp_2_25_D,and3_2_11_X,o21a_X,and4_2_4_D,xnor2_2_11_B,and4_X
"I2win_off1,3_d2",70,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",71,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",72,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",73,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",74,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",75,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",76,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",77,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",78,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",79,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0
"I2win_off1,3_d2",80,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0
"I2win_off1,3_d2",81,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",82,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",83,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",84,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",85,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",86,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",87,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",88,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",89,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",90,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",91,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",92,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",93,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",94,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",95,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",96,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",97,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",98,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",99,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",100,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",101,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
"I2win_off1,3_d2",102,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
"I2win_off1,3_d2",103,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",104,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",105,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",106,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",107,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",108,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",109,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",110,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",111,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",112,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",113,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0
"I2win_off1,3_d2",114,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1
"I2win_off1,3_d2",115,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1
"I2win_off1,3_d2",116,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1
"I2win_off1,3_d2",117,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1
"I2win_off1,3_d2",118,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1
"I2win_off1,3_d2",119,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1
"I2win_off1,3_d2",120,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1
"I2win_off4,6_d2",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off4,6_d2",1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off4,6_d2",2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off4,6_d2",3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off4,6_d2",4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"I2win_off4,6_d2",5,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"I2win_off4,6_d2",6,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"I2win_off4,6_d2",7,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off4,6_d2",8,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"I2win_off4,6_d2",9,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
